Cuisine,ReviewCount,Rating,RestaurantID
chinese,5048,4,0CjK3esfpFcxIopebzjFxA
chinese,2228,4,IhSVn0TaX8xXb3wcQ-fgcA
chinese,3375,4,nI1UYDCYUTt23TpGxqnLKg
chinese,1371,4,Lbs8QBRN1U7IYBo5Mcv-RQ
chinese,1459,4,Gd3_3mxOvj2xYiqysV8rbQ
chinese,1290,4,R26zweQ8-xoZS7iHkXQOvw
chinese,1771,4,M-odQWSEfsR2mVEw7nKG-g
chinese,2020,3.5,x_t-FtDa5HVgc-wecp0HBg
chinese,1305,4,HScFap2SwbUlfC-QXVkxFA
chinese,1353,4,97q5nUQTuBo_h00XCxna2A
chinese,1750,3.5,B3i4zs5wquFu1UZyzYJ-bQ
chinese,992,4,wfhMIiMh2A2psCGONOVSlg
chinese,1249,3.5,L37A2JWXfwR_PgKColA8xA
chinese,1045,4,H1jops1lmuhrq9lP7lEGJQ
chinese,1943,3.5,FH978pIP1TLRuPAH-MbWIQ
chinese,1555,3.5,_usWsAYSKKV2q8xw-3ajrA
chinese,775,4,bnDfFdiCcPzhuNWUJORvLQ
chinese,467,4,oe8GEFE4QLFAKt87y7zcgA
chinese,1043,4,xq0cX_DgxiJMXwhmEl9kUA
chinese,818,4,tguMh2GgOcU9fu6WN3dqpw
chinese,1091,3.5,d_TC6Om2EBTzHVm_lCgNtg
chinese,589,4,P2bxlKAmRWZIpHdJ_JT3fg
chinese,1353,3.5,rYw5rQbWRX9buZHZbxqWdA
chinese,825,4,fPW_GBZsnBNsIzK62sCHBg
chinese,1451,3.5,6zM0c7vvoddgza_qvKkATw
chinese,769,4,neQM053ovAOrf1sVSAPI9w
chinese,1138,3.5,zubN8Ve-RyoljRZV4NRxEQ
chinese,912,3.5,SNhDVaf_n7VDZcfry8mYdA
chinese,646,4,bVkjBJlAIwKAj9Aw1KVWjA
chinese,474,4,Va_mnsEvBghHXvc7uZIWJQ
chinese,456,4,bT4CDzyhV-frXV6ijvXnvw
chinese,700,3.5,XkL6fOBtaIqVCMXVCY9row
chinese,1098,3.5,SyvC0s3y0ZrtnLbwnvw7tw
chinese,485,4,8ig0yf0003DAp4YOGTlbVg
chinese,295,4,l44CFBTejwL0ElKmkH7xQQ
chinese,689,3.5,EFihj7vsRRXiF5la-UURyw
chinese,522,4,kwqOmEwWJ0D9PyCdFGE3-g
chinese,656,4,U74_3F7r3tMhd6dmTmDBxQ
chinese,735,3.5,rEbwps11tIERRkwQrIXQog
chinese,386,4,BPErPpKSNluwcjbKRgze3w
chinese,630,3.5,kWJF8L1u5jdlkLBItUu16w
