tag,bestAnswer,score
0CjK3esfpFcxIopebzjFxA,1,9.994423E-1
IhSVn0TaX8xXb3wcQ-fgcA,1,9.994423E-1
nI1UYDCYUTt23TpGxqnLKg,1,9.994423E-1
Lbs8QBRN1U7IYBo5Mcv-RQ,1,9.997517E-1
Gd3_3mxOvj2xYiqysV8rbQ,1,9.997517E-1
R26zweQ8-xoZS7iHkXQOvw,1,9.997517E-1
M-odQWSEfsR2mVEw7nKG-g,1,9.997517E-1
x_t-FtDa5HVgc-wecp0HBg,0,4.940377E-1
HScFap2SwbUlfC-QXVkxFA,1,9.997517E-1
97q5nUQTuBo_h00XCxna2A,1,9.997517E-1
B3i4zs5wquFu1UZyzYJ-bQ,1,6.869302E-1
wfhMIiMh2A2psCGONOVSlg,1,9.997517E-1
L37A2JWXfwR_PgKColA8xA,1,6.869302E-1
H1jops1lmuhrq9lP7lEGJQ,1,9.997517E-1
FH978pIP1TLRuPAH-MbWIQ,1,6.869302E-1
_usWsAYSKKV2q8xw-3ajrA,1,6.869302E-1
bnDfFdiCcPzhuNWUJORvLQ,1,9.997517E-1
oe8GEFE4QLFAKt87y7zcgA,1,9.997517E-1
xq0cX_DgxiJMXwhmEl9kUA,1,9.997517E-1
tguMh2GgOcU9fu6WN3dqpw,1,9.997517E-1
d_TC6Om2EBTzHVm_lCgNtg,1,6.869302E-1
P2bxlKAmRWZIpHdJ_JT3fg,1,9.997517E-1
rYw5rQbWRX9buZHZbxqWdA,1,6.869302E-1
fPW_GBZsnBNsIzK62sCHBg,1,9.997517E-1
6zM0c7vvoddgza_qvKkATw,1,6.869302E-1
neQM053ovAOrf1sVSAPI9w,1,9.997517E-1
zubN8Ve-RyoljRZV4NRxEQ,1,6.869302E-1
SNhDVaf_n7VDZcfry8mYdA,1,6.869302E-1
bVkjBJlAIwKAj9Aw1KVWjA,1,9.997517E-1
Va_mnsEvBghHXvc7uZIWJQ,1,9.997517E-1
bT4CDzyhV-frXV6ijvXnvw,1,9.997517E-1
XkL6fOBtaIqVCMXVCY9row,1,6.869302E-1
SyvC0s3y0ZrtnLbwnvw7tw,1,6.869302E-1
8ig0yf0003DAp4YOGTlbVg,1,9.997517E-1
l44CFBTejwL0ElKmkH7xQQ,1,9.999648E-1
EFihj7vsRRXiF5la-UURyw,1,6.869302E-1
kwqOmEwWJ0D9PyCdFGE3-g,1,9.997517E-1
U74_3F7r3tMhd6dmTmDBxQ,1,9.997517E-1
rEbwps11tIERRkwQrIXQog,1,6.869302E-1
BPErPpKSNluwcjbKRgze3w,1,9.999648E-1
kWJF8L1u5jdlkLBItUu16w,1,6.869302E-1
uiQ6p_3biJD5S4PrF58t_g,1,6.869302E-1
0vg2Z-HPwkyVVX613j2ysg,1,9.999553E-1
C7CFAdrczXxNhnN-MNJqmw,1,9.997517E-1
B8tDnyFltP3bxMxSsjCvVA,1,9.999648E-1
1MqGlFP3b7H77fzUkJMKgw,1,9.997517E-1
Kqb7MjTPNkjPMoFRd-rWpw,1,9.999648E-1
0k678lCWQyReNi0lARlOmw,1,9.997517E-1
m2_ZNFos5ugAwe8ft8eaEw,1,9.999553E-1
ynB8T3htx8s5V0YV8gVPGA,1,9.999648E-1
6hacsz7FUwprKTjJb6KFog,1,6.869302E-1
uaFHoq-a5XqxF-bsOK9_Qg,1,6.869302E-1
RTFIMX31BPeZzx7kJJ1SCA,1,6.869302E-1
7ZQSMqWzvXMSetXnii2fBg,1,9.999648E-1
UiBQ8Uyu4wfOtEM1Rr8ycA,1,9.999648E-1
3K7Kc82bhU6-qjAjsBs3Fw,1,9.997517E-1
84zvcPTAVCsSVtzCUtSDtA,1,6.869302E-1
91rrB0aH3caC70oCkxAynA,1,6.869302E-1
ZUBqQZwMGZSOVbfpOI_uyg,1,6.869302E-1
yFub1BhKEP-W-_ZM3_nJoQ,1,9.999648E-1
spJTHaNjEzKwoEiYWR1ggA,1,6.869302E-1
Y1s36Tk63HIzAc76X_fAiQ,1,6.869302E-1
ovOupYdkZOWUeDMOdt--ng,1,9.999648E-1
vgG8hgJbPLKfx-n9TYqCDw,1,9.996326E-1
B98cXrMI16HslKLqg6Nb9A,1,6.869302E-1
cn3JXMq29UfRkFCUD0Bhbw,1,6.869302E-1
6LfskUyZzmcDSV6h5kOwGw,1,6.869302E-1
9-vKFnUby_6-pR6UJxjzMw,1,9.996326E-1
2eR8ftw-GiTEwg3Y7Rm-MA,1,6.869302E-1
9v-JAffC6qw8Xp67BICByQ,1,9.393881E-1
B87c3bE_u53yNYO1cmHSIw,1,9.997517E-1
lRSiXYB09Z5x1iINqQ7rHA,1,6.869302E-1
tsHdT1GDibhYYA0JA7Z9tg,1,9.999648E-1
ojbH3wnRu050hRhkmoxRiA,1,9.999648E-1
kNOr6_g6QfBHdhf89j3g5w,1,9.999648E-1
bcqTacyE-0XDaZYG_xbTBQ,1,9.999648E-1
2rqb2T5IS2D7A6UB5QwNKw,1,9.999648E-1
SVJNB9LqI13jtVyKMZVqeg,1,9.393881E-1
rGmGim1ZDCxnF8n4NiKrYQ,1,6.869302E-1
1Duix1fA6zcJGdYAmBPkmw,1,6.869302E-1
Te2iLepC0UrJRzVKexFukQ,1,6.869302E-1
V9cBgn2RFLurwg6lwuLH7w,1,9.999648E-1
lKxmH-hQ6ezKbq4URKrd-Q,1,9.999648E-1
7erFgHiQmw7ZJfVPmOjeeA,1,9.393881E-1
XfHgiIsoo1Pr_v04bx9ptg,1,9.993402E-1
dDXtga5Kgo5B1twdezcZJA,1,9.999648E-1
6tASYtO9zOrXr8-LPnAToQ,1,9.999648E-1
53y6b_-YaptXhlm2-STzeA,1,6.869302E-1
3Rah-cvFk79duFQ83voQ5A,1,9.999648E-1
_XLLSXPIjgoZQtwU3RCcQA,1,9.999648E-1
lpLd3AFaMOV7LfPtvUiq8A,1,6.869302E-1
9FwX2ye1eCxnPVoQOHHr3g,1,9.996326E-1
DPOWubhvyzYGjLbVvbr_sg,1,9.996326E-1
pepM7-yv4-jCT6S1nl6fPg,1,9.996326E-1
JaKLZrh1Y_2qB_0Gc3bk3A,1,9.393881E-1
2Bd36ac2PAjOvHFGX3e1dw,1,9.393881E-1
c1HgKFOT4Cc7TqWQD5mQBQ,1,9.992698E-1
si4n0EtvAl3QisVHoKPOuw,1,9.393881E-1
Qn-qGoIkj-9uApdxb_VTeA,1,9.393881E-1
0dDCDQz7DrKkSvu9h2hcQw,1,9.993402E-1
HHkTmzDBE9sGWvtSW9Ne8A,1,9.393881E-1
g_5V15Xp1OvB1QXuGMstYA,1,6.869302E-1
xCHApgtkLpEyh0lz-uhZvg,1,9.999648E-1
OvdCm3j_5HzItolfvwrEUA,1,9.393881E-1
6wJOojpF2c4lLeBNbTBB0A,1,9.99711E-1
sfsjk1h50ooC2ioY7m48gw,1,9.999648E-1
jc7lVTvmYMIK5RNpENtS6w,1,9.99711E-1
hh0W5CPtx2MoyQGb1kAEEA,1,9.999648E-1
30pqvzHrCNmnodJCRyzrTg,1,9.999648E-1
-7PgxPVUGZh__U3CxRFKxg,1,9.99711E-1
_Ge2eC89Z-jlaDDWglfT8g,1,9.996326E-1
XmycF9-fpEPlgMe8_qgJrQ,1,9.393881E-1
aije_BqBVVl-6T13QsnRqQ,1,6.533592E-1
H89jrU17lNnguPaHbmzhAw,1,9.393881E-1
7hyQqnnAisSL-nfIWCPziQ,1,9.393881E-1
osnb51lPIHxUKRlcg7idwA,1,9.999648E-1
yzAJOjAV7BnLZpbISHZfWg,1,6.869302E-1
v2dtG37r1ThqtfEfiFsAUg,1,6.869302E-1
heM6XLWvfYuivaf2IjBMFQ,1,9.99711E-1
8UlRXXPaSI383aiOiJQi5A,1,9.393881E-1
f7QVr9xC8UWXdVz9QvbmNg,1,9.852894E-1
AgTj_2PYIKP519hexQCvCg,1,9.393881E-1
RoPrfBqmRTqw_cBqcWAfYA,1,9.99711E-1
Tb4aUIIy74xG9wLDEwpxdw,1,9.393881E-1
bGOZTD9O00OkVA1Pkt3OuQ,1,9.393881E-1
HjUwZOlok1TabhS4S1ya2w,1,9.993402E-1
gxvwxZWWSKNFMsVr10YAQg,1,9.393881E-1
oowNI_aUmGEFa_VW8BFgRg,1,9.99711E-1
RoXFN-T1s6moM5smbY_5Gw,1,6.869302E-1
tS4aiWBYgzlqKX898jr3_w,1,9.99711E-1
5YBYGnZtTGJABXC4Jahhzg,1,9.99711E-1
PGeL1b4xNJggpZsHEGoxjg,1,9.393881E-1
2IrDzLVFUFPp229c1x8YNw,1,9.99711E-1
lSrdxUNxyMgh5YU903JUiw,1,9.99711E-1
kyJ0CtJ2Lrid_YdZWobf7w,1,9.393881E-1
U2aUFZARLeSMf4RQIxjuTw,1,9.993402E-1
eVDV1ALwvre01Xo8v6BCoQ,1,9.99711E-1
mDajKjZjRN4tVGEJFOgF9w,1,9.393881E-1
PQ2ZlhuTlJpvMUgvsAwtmQ,1,9.393881E-1
4s_PhObBStJL6EYVtIAsrQ,1,9.393881E-1
rkeH5HJIuX7ZcOaYNum9xA,1,6.533592E-1
ZpifrJsBsz7RUT1_Tyu9nQ,1,9.993402E-1
BkXb82Y2OIsQ5RpNNQOYmQ,1,9.99711E-1
IqbHVeqgewmbeSMXBhbqSw,1,9.393881E-1
oJjMYhA6z1_BVaQpSdyl8g,1,9.99711E-1
bRL9IQG2gpdAAEcaa8V0Qg,1,9.993402E-1
-lgNzAEyFr8LCTuBTWnAMg,1,9.99711E-1
5RjZCsXuWPclyrDsnsXw7w,1,9.99711E-1
mA7_wkXy3fDuQ00iV6GYqQ,1,9.99711E-1
YdAtCf_13UK-uvXuOMrhNg,1,9.99711E-1
lFq-2FMJogdokie314E1bQ,1,6.533592E-1
