Cuisine,ReviewCount,Rating,RestaurantID,bestAnswer,score
chinese,5048,4,0CjK3esfpFcxIopebzjFxA,1,0.9994423
chinese,2228,4,IhSVn0TaX8xXb3wcQ-fgcA,1,0.9994423
chinese,3375,4,nI1UYDCYUTt23TpGxqnLKg,1,0.9994423
chinese,1371,4,Lbs8QBRN1U7IYBo5Mcv-RQ,1,0.9997517
chinese,1459,4,Gd3_3mxOvj2xYiqysV8rbQ,1,0.9997517
chinese,1290,4,R26zweQ8-xoZS7iHkXQOvw,1,0.9997517
chinese,1771,4,M-odQWSEfsR2mVEw7nKG-g,1,0.9997517
chinese,2020,3.5,x_t-FtDa5HVgc-wecp0HBg,0,0.4940377
chinese,1305,4,HScFap2SwbUlfC-QXVkxFA,1,0.9997517
chinese,1353,4,97q5nUQTuBo_h00XCxna2A,1,0.9997517
chinese,1750,3.5,B3i4zs5wquFu1UZyzYJ-bQ,1,0.6869302
chinese,992,4,wfhMIiMh2A2psCGONOVSlg,1,0.9997517
chinese,1249,3.5,L37A2JWXfwR_PgKColA8xA,1,0.6869302
chinese,1045,4,H1jops1lmuhrq9lP7lEGJQ,1,0.9997517
chinese,1943,3.5,FH978pIP1TLRuPAH-MbWIQ,1,0.6869302
chinese,1555,3.5,_usWsAYSKKV2q8xw-3ajrA,1,0.6869302
chinese,775,4,bnDfFdiCcPzhuNWUJORvLQ,1,0.9997517
chinese,467,4,oe8GEFE4QLFAKt87y7zcgA,1,0.9997517
chinese,1043,4,xq0cX_DgxiJMXwhmEl9kUA,1,0.9997517
chinese,818,4,tguMh2GgOcU9fu6WN3dqpw,1,0.9997517
chinese,1091,3.5,d_TC6Om2EBTzHVm_lCgNtg,1,0.6869302
chinese,589,4,P2bxlKAmRWZIpHdJ_JT3fg,1,0.9997517
chinese,1353,3.5,rYw5rQbWRX9buZHZbxqWdA,1,0.6869302
chinese,825,4,fPW_GBZsnBNsIzK62sCHBg,1,0.9997517
chinese,1451,3.5,6zM0c7vvoddgza_qvKkATw,1,0.6869302
chinese,769,4,neQM053ovAOrf1sVSAPI9w,1,0.9997517
chinese,1138,3.5,zubN8Ve-RyoljRZV4NRxEQ,1,0.6869302
chinese,912,3.5,SNhDVaf_n7VDZcfry8mYdA,1,0.6869302
chinese,646,4,bVkjBJlAIwKAj9Aw1KVWjA,1,0.9997517
chinese,474,4,Va_mnsEvBghHXvc7uZIWJQ,1,0.9997517
chinese,456,4,bT4CDzyhV-frXV6ijvXnvw,1,0.9997517
chinese,700,3.5,XkL6fOBtaIqVCMXVCY9row,1,0.6869302
chinese,1098,3.5,SyvC0s3y0ZrtnLbwnvw7tw,1,0.6869302
chinese,485,4,8ig0yf0003DAp4YOGTlbVg,1,0.9997517
chinese,295,4,l44CFBTejwL0ElKmkH7xQQ,1,0.9999648
chinese,689,3.5,EFihj7vsRRXiF5la-UURyw,1,0.6869302
chinese,522,4,kwqOmEwWJ0D9PyCdFGE3-g,1,0.9997517
chinese,656,4,U74_3F7r3tMhd6dmTmDBxQ,1,0.9997517
chinese,735,3.5,rEbwps11tIERRkwQrIXQog,1,0.6869302
chinese,386,4,BPErPpKSNluwcjbKRgze3w,1,0.9999648
chinese,630,3.5,kWJF8L1u5jdlkLBItUu16w,1,0.6869302
chinese,837,3.5,uiQ6p_3biJD5S4PrF58t_g,1,0.6869302
chinese,262,4.5,0vg2Z-HPwkyVVX613j2ysg,1,0.9999553
chinese,580,4,C7CFAdrczXxNhnN-MNJqmw,1,0.9997517
chinese,402,4,B8tDnyFltP3bxMxSsjCvVA,1,0.9999648
chinese,481,4,1MqGlFP3b7H77fzUkJMKgw,1,0.9997517
chinese,383,4,Kqb7MjTPNkjPMoFRd-rWpw,1,0.9999648
chinese,471,4,0k678lCWQyReNi0lARlOmw,1,0.9997517
chinese,289,4.5,m2_ZNFos5ugAwe8ft8eaEw,1,0.9999553
chinese,359,4,ynB8T3htx8s5V0YV8gVPGA,1,0.9999648
chinese,1262,3.5,6hacsz7FUwprKTjJb6KFog,1,0.6869302
chinese,759,3.5,uaFHoq-a5XqxF-bsOK9_Qg,1,0.6869302
chinese,575,3.5,RTFIMX31BPeZzx7kJJ1SCA,1,0.6869302
chinese,352,4,7ZQSMqWzvXMSetXnii2fBg,1,0.9999648
chinese,403,4,UiBQ8Uyu4wfOtEM1Rr8ycA,1,0.9999648
chinese,493,4,3K7Kc82bhU6-qjAjsBs3Fw,1,0.9997517
chinese,871,3.5,84zvcPTAVCsSVtzCUtSDtA,1,0.6869302
chinese,550,3.5,91rrB0aH3caC70oCkxAynA,1,0.6869302
chinese,955,3.5,ZUBqQZwMGZSOVbfpOI_uyg,1,0.6869302
chinese,243,4,yFub1BhKEP-W-_ZM3_nJoQ,1,0.9999648
chinese,573,3.5,spJTHaNjEzKwoEiYWR1ggA,1,0.6869302
chinese,455,3.5,Y1s36Tk63HIzAc76X_fAiQ,1,0.6869302
chinese,260,4,ovOupYdkZOWUeDMOdt--ng,1,0.9999648
chinese,139,4.5,vgG8hgJbPLKfx-n9TYqCDw,1,0.9996326
chinese,446,3.5,B98cXrMI16HslKLqg6Nb9A,1,0.6869302
chinese,441,3.5,cn3JXMq29UfRkFCUD0Bhbw,1,0.6869302
chinese,712,3.5,6LfskUyZzmcDSV6h5kOwGw,1,0.6869302
chinese,124,4.5,9-vKFnUby_6-pR6UJxjzMw,1,0.9996326
chinese,524,3.5,2eR8ftw-GiTEwg3Y7Rm-MA,1,0.6869302
chinese,389,3.5,9v-JAffC6qw8Xp67BICByQ,1,0.9393881
chinese,464,4,B87c3bE_u53yNYO1cmHSIw,1,0.9997517
chinese,675,3.5,lRSiXYB09Z5x1iINqQ7rHA,1,0.6869302
chinese,268,4,tsHdT1GDibhYYA0JA7Z9tg,1,0.9999648
chinese,405,4,ojbH3wnRu050hRhkmoxRiA,1,0.9999648
chinese,288,4,kNOr6_g6QfBHdhf89j3g5w,1,0.9999648
chinese,230,4,bcqTacyE-0XDaZYG_xbTBQ,1,0.9999648
chinese,224,4,2rqb2T5IS2D7A6UB5QwNKw,1,0.9999648
chinese,376,3.5,SVJNB9LqI13jtVyKMZVqeg,1,0.9393881
chinese,499,3.5,rGmGim1ZDCxnF8n4NiKrYQ,1,0.6869302
chinese,744,3.5,1Duix1fA6zcJGdYAmBPkmw,1,0.6869302
chinese,703,3,Te2iLepC0UrJRzVKexFukQ,1,0.6869302
chinese,190,4,V9cBgn2RFLurwg6lwuLH7w,1,0.9999648
chinese,273,4,lKxmH-hQ6ezKbq4URKrd-Q,1,0.9999648
chinese,389,3.5,7erFgHiQmw7ZJfVPmOjeeA,1,0.9393881
